"species","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"hpylori",1.76015,894,70,930,3382,5276,0.9163334
"hpylori",1.68622,830,50,1154,3152,5186,0.8660952
"hpylori",1.84465,861,89,990,3486,5426,0.8073113
"hpylori",1.79123,865,67,955,3651,5538,0.8317998
"hpylori",1.90462,850,91,888,3917,5746,0.7831325
"hpylori",1.83298,851,78,1095,3623,5647,0.791906
"hpylori",1.56506,857,49,1185,3011,5102,0.9629841
"hpylori",1.7796,867,48,1014,3480,5409,0.8562531
"hpylori",1.60878,865,93,950,3231,5139,0.952671
"hpylori",1.71509,872,76,1208,3105,5261,0.8694253
"hpylori",1.46718,817,45,1470,2636,4968,0.9930709
"hpylori",1.66995,826,60,1176,3191,5253,0.8615322
"hpylori",1.64217,850,42,1123,3245,5260,0.9379897
"hpylori",1.54365,845,53,1212,2985,5095,0.926641
"hpylori",1.53701,881,62,1138,2967,5048,0.9836017
"hpylori",1.74476,840,92,968,3551,5451,0.8449122
"hpylori",1.82189,820,71,1240,3404,5535,0.8279925
"hpylori",1.73086,894,73,929,3319,5215,0.8827434
"hpylori",1.63781,874,45,1229,3009,5157,0.9169083
"hpylori",1.7851,874,76,1004,3427,5381,0.8577199
"hpylori",1.64383,856,83,1107,3163,5209,0.9129314
"hpylori",1.82592,824,73,1065,3775,5737,0.8502434
"hpylori",1.7418,854,99,1045,3480,5478,0.849528
"hpylori",1.74914,876,48,1117,3219,5260,0.8566763
"hpylori",1.73987,876,54,1065,3181,5176,0.8503479
"hpylori",1.48442,855,115,1078,2827,4875,1.004477
"hpylori",1.48131,830,46,1271,2646,4793,1.031118
"hpylori",1.80612,887,96,1045,3381,5409,0.8189722
"hpylori",1.92089,838,100,950,3758,5646,0.8079782
"hpylori",1.89416,826,113,944,3871,5754,0.8187587
"hpylori",1.75355,890,64,947,3473,5374,0.8601855
"hpylori",1.51121,854,35,1191,2840,4920,1.045077
"mtuber",0.3904,3745,94,363,396,4598,7.708922
"mtuber",0.6468,3673,150,374,434,4631,4.904906
"mtuber",0.47372,3708,113,382,414,4617,6.411549
"mtuber",0.49564,3721,97,411,354,4583,6.289512
"mtuber",0.71944,3616,174,470,528,4788,4.338445
"mtuber",0.65493,3616,176,447,546,4785,5.391503
"mtuber",0.57545,3664,180,347,469,4660,6.594731
"mtuber",0.57041,3614,183,465,588,4850,7.35889
"mtuber",0.55635,3702,115,421,528,4766,6.718293
"mtuber",0.58358,3694,135,366,381,4576,4.770141
"mtuber",0.37733,3731,124,345,354,4554,7.287457
"mtuber",0.37746,3736,99,349,339,4523,8.416128
"mtuber",0.70554,3684,158,377,497,4716,5.656919
"mtuber",0.58304,3635,166,429,544,4774,6.693006
"mtuber",0.61679,3634,170,430,544,4778,5.043033
"mtuber",0.45899,3675,139,398,431,4643,6.226212
"mtuber",0.68087,3592,185,508,622,4907,5.420834
"mtuber",0.53637,3639,167,405,399,4610,5.297384
"mtuber",0.50491,3658,171,358,378,4565,6.07228
"mtuber",0.6766,3615,175,449,509,4748,5.711066
"mtuber",0.55542,3671,135,395,417,4618,6.873216
"mtuber",0.51983,3684,139,372,448,4643,5.297456
"mtuber",0.59092,3658,146,428,547,4779,5.217016
"mtuber",0.51293,3631,191,369,422,4613,6.583892
"mtuber",0.44929,3717,135,344,448,4644,6.319532
"mtuber",0.47221,3725,100,373,324,4522,5.960607
"mtuber",0.57764,3688,131,382,372,4573,5.522611
"mtuber",0.63278,3649,147,439,502,4737,5.081764
"mtuber",0.59226,3630,182,395,512,4719,5.050494
"mtuber",0.50155,3709,119,370,310,4508,6.556825
"mtuber",0.36936,3728,128,327,277,4460,8.518865
"mtuber",0.66772,3666,159,409,443,4677,4.464175
"mtuber",0.63788,3655,158,423,499,4735,4.637434
"mtuber",0.6837,3553,206,517,606,4882,4.99792
"mtuber",0.55539,3691,120,407,456,4674,5.364071
